,Linear Regression,Ridge Regression,LASSO Regression,Quadratic Regression,Random Forest Regression,Gradient Boosting Regression
"Central Park North-110 St (2,3)",0.6708289720228842,0.6708504635424644,0.6390067631180706,0.7790048636257967,0.7071633431263497,0.6991952300865922
"Chambers St (1,2,3)",0.6493321058844865,0.6492965656490092,0.6428493128501926,0.793225823932231,0.72124888049661,0.7309853059747766
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",0.6617118537988161,0.6620004038815128,0.6613663186160356,0.7900365571194163,0.7054864310187892,0.7336445739061472
"Chauncey St (J,Z)",0.5970652104703911,0.5969573159340504,0.4704685023922661,0.7164248531448976,0.6550011163649703,0.6419250872199174
Christopher St-Sheridan Sq (1),0.55546860573088,0.5557556332821441,0.5490954770955536,0.6563055096471654,0.5838629325028839,0.5671054348811653
"Church Av (2,5)",0.6572673022657723,0.6571796396568896,0.6354362300253433,0.8062271957550606,0.7524628205479218,0.7320472786456647
"Church Av (B,Q)",0.6543531310328862,0.654574487223681,0.6438663190293585,0.8017952786053753,0.7481395255640205,0.7335012392972887
"Church Av (F,G)",0.6611748152294583,0.6613059217406994,0.6476829137076499,0.7888742102839109,0.7312832816348724,0.7334113167099895
"City Hall (R,W)",0.658568301050399,0.6586419978350047,0.6381997316754897,0.7836280961037198,0.7115347785322439,0.7219298998527062
"Clark St (2,3)",0.5150251320563117,0.5147945598606811,0.46899399097783545,0.6530472191625125,0.5776291919941985,0.5437144761985342
Classon Av (G),0.6207170650248439,0.620812947718805,0.5880452419280036,0.7650264792761902,0.6804142803255389,0.6846867125664071
Cleveland St (J),0.656001921553051,0.6558673237643883,0.543855282801951,0.7962921903152381,0.7400616160223719,0.7365326032202779
Clinton-Washington Avs (C),0.5809304058864784,0.5809687300782,0.5606334055263351,0.7599156274117878,0.6646226726000315,0.667193896972936
Clinton-Washington Avs (G),0.6069471924021387,0.6068681550631874,0.5649153428294955,0.7552279750368458,0.665313054690628,0.6490572788003386
"Coney Island-Stillwell Av (D,F,N,Q)",0.4941904094987536,0.49446705580567263,0.4857068127704397,0.6445477782671463,0.5662198565160073,0.5661710623927922
Cortelyou Rd (Q),0.6382725651287982,0.6380949416421842,0.606056370022178,0.8004932343677302,0.7471628719471024,0.7276134408709154
"Court Sq (E,G,M,7)",0.6114084132133973,0.6115956726787508,0.6076568693302808,0.721251262616436,0.6273151602348893,0.6466926410915728
"Court St (R)/Borough Hall (2,3,4,5)",0.6713831753383956,0.6715484479974589,0.6691977982334574,0.7846644741026718,0.6919950012382722,0.7107759767072757
"Crescent St (J,Z)",0.6951148940272065,0.6950351757742383,0.6288530211119514,0.7959552932452171,0.7286287702334864,0.7458096021582987
"Crown Heights-Utica Av (3,4)",0.655434584037794,0.6555947442262344,0.6512855534159812,0.7961553781793735,0.7421510322830471,0.7411233974702246
Cypress Av (6),0.6684852303964886,0.6682525596468136,0.5510609313879321,0.794296830592416,0.7337737256252839,0.7097829095217069
Cypress Hills (J),0.6545484236720569,0.6546834446707688,0.4983755538628196,0.7840184995596635,0.7035846213866808,0.74395441505108
"DeKalb Av (B,Q,R)",0.6712042726019075,0.6713146931455671,0.6650482129140288,0.7702084722803102,0.6891203750771409,0.6915505276555569
DeKalb Av (L),0.6056958774296509,0.6055586489698659,0.5885412948597963,0.752461690496581,0.7098733106897532,0.6470372368881736
"Delancey St (F)/Essex St (J,M,Z)",0.5908809964160779,0.5909056392248172,0.5853663895934329,0.70100798582433,0.610309614714396,0.6196568019519202
Ditmas Av (F),0.653078664712679,0.6530217869618259,0.608825980659345,0.7850448873201524,0.7072046439792685,0.7162367896175397
Dyckman St (1),0.6634017809181494,0.6632350595186913,0.6287596201667229,0.7764051128513447,0.7192597974141246,0.6968031277588846
Dyckman St (A),0.6447483125224596,0.644768075841166,0.6133078892432372,0.7694690404019118,0.6782716495359997,0.6937021514596369
East 105 St (L),0.6464657910751666,0.6463519019184836,0.5710980863359207,0.793008398060443,0.7429071815999997,0.738556587816705
East 143 St-St Mary's St (6),0.6330200461918112,0.6329310584082863,0.4814843504854024,0.7959508641734214,0.7624212760025525,0.731766534027746
East 149 St (6),0.6787237883364139,0.6786774730629925,0.6320670120385805,0.7999075069194643,0.7380284599070962,0.7358828864658602
"East 180 St (2,5)",0.654870171413318,0.6550861247600777,0.6370266991280399,0.7799465543410355,0.718350049873816,0.7242083260761466
East Broadway (F),0.6307280768963581,0.630532787638069,0.6168216641965376,0.7126332622372598,0.6287212862268055,0.6244878231054635
Eastchester-Dyre Av (5),0.659641089134509,0.659701597015117,0.6232168297673043,0.8416461711733296,0.7709198020146231,0.7851270789441599
"Eastern Pkwy-Brooklyn Museum (2,3)",0.5840377756736224,0.5840971348304758,0.5471618009862015,0.711895756878093,0.6153556475360318,0.630764392902111
Elder Av (6),0.6984821317421284,0.6985467249624933,0.6667773029250474,0.8172281809214322,0.7623889054741124,0.7589012891151452
"Elmhurst Av (M,R)",0.6869875046469046,0.6866443705012026,0.6735668048463694,0.8078679745243856,0.7299065002244804,0.7390825607851744
"Euclid Av (A,C)",0.646760232564101,0.6469280788343574,0.6342524047813076,0.7630344650593857,0.6940312763380224,0.7127058395556285
Far Rockaway-Mott Av (A),0.6588970499331372,0.6584983162946323,0.5792380969241047,0.7750246994593052,0.6992410069894218,0.6957612879711663
"Flatbush Av-Brooklyn College (2,5)",0.6439070930071346,0.6438766793973334,0.6339746811069409,0.7976778081687044,0.7409483179126282,0.7229268691083699
Flushing Av (G),0.6501877318165363,0.6502096467090779,0.5819543532571265,0.7684521498767048,0.6978525847081947,0.6929210961299257
"Flushing Av (J,M)",0.6743954958167373,0.6743109832157165,0.6379457082388944,0.7754216161415866,0.6900613087516408,0.6723919115942331
Flushing-Main St (7),0.636745149438197,0.6364713604999216,0.6343793392177982,0.754329835018786,0.6826215774083207,0.6663086614656987
Fordham Rd (4),0.6630727506508594,0.6632189445301897,0.6387869622048272,0.7329980450406557,0.6588765866988364,0.6565648212287268
"Fordham Rd (B,D)",0.648858374540284,0.648935616700512,0.621875097528122,0.7786732044129199,0.6897493009323405,0.6904259684510856
Forest Av (M),0.6403918403019841,0.6403492583136331,0.6055703552411952,0.8279908382788224,0.7762248380612058,0.765494573059605
"Forest Hills-71 Av (E,F,M,R)",0.5945901823982283,0.5947657294489574,0.589701354555036,0.7386749313733085,0.6534326460180067,0.668288978784888
Fort Hamilton Pkwy (D),0.6642960764236783,0.6644272504500026,0.6087170072528852,0.79303852077187,0.7267025917698696,0.7115980861560005
"Fort Hamilton Pkwy (F,G)",0.5749399709353384,0.5751406194028326,0.5590031476203379,0.7619023485570456,0.6871984595364288,0.7005436349729237
Fort Hamilton Pkwy (N),0.6575089983554065,0.657719095634549,0.6424504805383124,0.7954472800313213,0.7319986588546948,0.7500074851807522
"Franklin Av (2,3,4,5)/Botanic Garden (S)",0.6095308805350084,0.6096577161747435,0.6001520600751807,0.7535587719370466,0.6809011686440711,0.6790065720780502
"Franklin Av (C,S)",0.611364281342872,0.6115527555063384,0.5625855548461909,0.7410971844866847,0.6579112446739597,0.640393327996978
Franklin St (1),0.62470490436123,0.6247640887951402,0.6023167579472941,0.7512614483209544,0.6660277301725948,0.6870380590426068
"Freeman St (2,5)",0.6736456156268991,0.673274771573825,0.6054469431031508,0.7837718621449072,0.7260453975992871,0.7115450210954162
Fresh Pond Rd (M),0.6609490246093952,0.6608710646589322,0.6388215150095538,0.8348107132117222,0.7751916810474679,0.7804116421963236
